"Name","Id","StartTime","Path","Company","Description","FileVersion","ProductVersion","CPU","WorkingSet","VirtualMemorySize"
"svchost","1320","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","2.28125","14209024","240844800"
"svchost","1328","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.1875","2334720","94998528"
"svchost","1452","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","4.3125","5242880","105234432"
"svchost","1528","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","86.65625","54751232","1488166912"
"svchost","1552","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.984375","6774784","114708480"
"svchost","1572","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.28125","2076672","114970624"
"svchost","1656","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","3.640625","16896000","135938048"
"svchost","1664","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","8.921875","17678336","287064064"
"svchost","1792","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.5625","4050944","136327168"
"svchost","2072","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.046875","4198400","92553216"
"svchost","2280","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.890625","5869568","135036928"
"svchost","2336","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.765625","2699264","115560448"
"svchost","2460","07-08-2025 14:56:21","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.078125","2072576","82677760"
"svchost","2468","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.140625","2777088","97665024"
"svchost","2660","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","13.96875","14434304","112365568"
"svchost","2800","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","1.25","6385664","163385344"
